cube11cam1_41 icam: 1 direction: 0 [186.77, 188.3, 49.21, 18.48, 663.69, 664.42, 0, 0] size(outline) :664.44,663.43
cube12cam1_11 icam: 1 direction: 0 [191.78, 187.85, 49.34, 2.99, 667.07, 664.86, 0.23559, 0] size(outline) :668.27,676.76
cube11cam3_54 icam: 1 direction: 0 [186.77, 188.3, 49.21, 18.48, 663.69, 664.42, 0, 0] size(outline) :664.44,663.43
cube12cam3_24 icam: 1 direction: 3 [186.46, 189.98, 50.1, 14.17, 665.89, 662.72, 0, 3] size(outline) :670.22,663.34
cube11cam2_62 icam: 1 direction: 0 [186.77, 188.3, 49.21, 18.48, 663.69, 664.42, 0, 0] size(outline) :664.44,663.43
cube12cam2_32 icam: 1 direction: 1 [185.19, 189.75, 48.26, 19.66, 657.25, 657.74, 0.23359, 1] size(outline) :667.88,658.4
cube12cam1_41 icam: 1 direction: 0 [188.76, 200.28, 49.83, 6.86, 662.52, 667.07, 0, 0] size(outline) :662.9,666.05
cube13cam1_11 icam: 1 direction: 0 [189.13, 190.18, 49.29, 5.34, 666.0, 666.49, 0, 0] size(outline) :667.01,664.99
cube12cam3_54 icam: 1 direction: 0 [188.76, 200.28, 49.83, 6.86, 662.52, 667.07, 0, 0] size(outline) :662.9,666.05
cube13cam3_24 icam: 1 direction: 3 [185.1, 187.38, 50.31, 6.3, 667.04, 662.17, 0.20608, 3] size(outline) :667.89,665.45
cube12cam2_62 icam: 1 direction: 0 [188.76, 200.28, 49.83, 6.86, 662.52, 667.07, 0, 0] size(outline) :662.9,666.05
cube13cam2_32 icam: 1 direction: 1 [194.75, 191.35, 48.61, 11.16, 657.5, 656.01, 0.04212, 1] size(outline) :661.99,657.04
cube13cam1_41 icam: 1 direction: 0 [188.99, 197.99, 50.26, 9.53, 660.82, 665.49, 0, 0] size(outline) :661.79,664.7
cube14cam1_11 icam: 1 direction: 0 [190.22, 200.89, 50.38, 3.01, 663.08, 667.3, 0, 0] size(outline) :662.9,665.48
cube13cam3_54 icam: 1 direction: 0 [188.99, 197.99, 50.26, 9.53, 660.82, 665.49, 0, 0] size(outline) :661.79,664.7
cube14cam3_24 icam: 1 direction: 3 [195.9, 193.38, 51.32, 9.03, 662.92, 665.88, 0, 3] size(outline) :665.26,667.9
cube13cam2_62 icam: 1 direction: 0 [188.99, 197.99, 50.26, 9.53, 660.82, 665.49, 0, 0] size(outline) :661.79,664.7
cube14cam2_32 icam: 1 direction: 1 [194.6, 190.18, 49.35, 7.09, 658.7, 656.29, 0, 1] size(outline) :658.17,656.45
cube14cam1_41 icam: 1 direction: 0 [190.09, 188.44, 49.39, 10.15, 662.17, 663.33, 0.20271, 0] size(outline) :672.82,666.63
cube15cam1_11 icam: 1 direction: 0 [190.01, 191.15, 49.37, 5.52, 665.03, 669.0, 0.16236, 0] size(outline) :675.87,667.18
cube14cam3_54 icam: 1 direction: 0 [190.09, 188.44, 49.39, 10.15, 662.17, 663.33, 0.20271, 0] size(outline) :672.82,666.63
cube15cam3_24 icam: 1 direction: 3 [185.53, 189.48, 50.39, 5.79, 668.15, 664.03, 0.2195, 3] size(outline) :678.32,665.63
cube14cam2_62 icam: 1 direction: 0 [190.09, 188.44, 49.39, 10.15, 662.17, 663.33, 0.20271, 0] size(outline) :672.82,666.63
cube15cam2_32 icam: 1 direction: 1 [199.43, 195.1, 48.89, 9.37, 658.09, 657.82, 0.25525, 1] size(outline) :673.42,668.25
cube15cam1_41 icam: 1 direction: 0 [189.37, 197.79, 49.83, 11.02, 664.63, 668.98, 0.36756, 0] size(outline) :666.74,677.21
cube16cam1_11 icam: 1 direction: 0 [188.93, 186.19, 49.05, 5.2, 666.11, 662.34, 0.33445, 0] size(outline) :667.89,671.17
cube15cam3_54 icam: 1 direction: 0 [189.37, 197.79, 49.83, 11.02, 664.63, 668.98, 0.36756, 0] size(outline) :666.74,677.21
cube16cam3_24 icam: 1 direction: 3 [184.54, 188.52, 51.04, 5.4, 668.39, 664.01, 0, 3] size(outline) :669.33,664.15
